"Task ID","Task Name","Fact cost (currency)","Category (drop down)"
"gjmc90","Чай листовой с гвоздикой на развес",0,"Продукты"
"gjmc8g","Часы",0,"Личные вещи"
"ez4uc0","Трусы",0,"Одежда"
"f92bud","Подписка ClickUp",0,"Счета"
"gv2w4x","Шкаф",0,"Дом"
"h94b6z","билочунь",0,"Продукты"
"k78xam","Стол",0,"Личные вещи"
"m7c9da","Оплатить ФКР",570.52,"Счета"
"mkd20z","Оплатить телефон",420,"Счета"
"mxe7jj","Треники",0,"Одежда"
"mxe7kc","Шкаф для обуви",0,"Дом"
"mxe7kk","Обувница",0,"Дом"
"yv33ta","Оплатить WiFi",0,"Счета"
"p5cf10","Велик upgrades",0,"Спорт/туризм"
"p5cr2h","Оплатить ЖСК",3041.28,"Счета"
"p5e9ec","Оплатить ПЭС",318.9,"Счета"
"p5ept7","ФКР","","Счета"
"p5eq2h","ЖСК","","Счета"
"p5eq9j","Телефон","","Счета"
"p5fjv1","Лента",940.17,"Продукты"
"p5fkfz","ВкусВилл",1832.11,"Продукты"
"p5g4pq","Кепка","","Одежда"
"pbg75h","ПЭС","","Счета"